open_signal,open_exec,close_signal,close_exec,side,month,reason,qty,z_open,z_close,S_entry,S_exit,hold_days,rolls,pnl,mae,cost,margin,net,ret,scope,fill,ticks
20231108,20231108,20231123,20231123,1,202409,take_profit,1.0,-2.6832934581364154,-0.4544781523450992,4905.0,5175.0,11,0,270.0,-800.0,30.174,18444.6,239.826,0.013002504798152306,demo_2409,close,0
20231130,20231130,20231205,20231205,1,202409,take_profit,1.0,-2.2546586966755013,-0.4431509797397874,3305.0,4520.0,3,0,1215.0,-295.0,29.954500000000003,18151.8,1185.0455,0.06528528851133221,demo_2409,close,0
20231213,20231213,20231215,20231215,-1,202409,stop_loss,1.0,2.02826964116029,3.2279816515689546,6255.0,7160.0,2,0,-905.0,-905.0,29.643500000000003,17749.8,-934.6435,-0.052656565144396,demo_2409,close,0
20231218,20231218,20231222,20231222,-1,202409,take_profit,1.0,2.3383824456028073,0.2578728337765551,6760.0,5235.0,4,0,1525.0,-30.0,30.161500000000004,17817.6,1494.8385,0.08389673693426725,demo_2409,close,0
20240131,20240131,20240304,20240304,1,202409,take_profit,1.0,-2.259586951009046,-0.47871448808547146,5175.0,5015.0,17,0,-160.0,-1030.0,30.311,18109.8,-190.311,-0.010508730079846271,demo_2409,close,0
20240326,20240326,20240327,20240327,-1,202409,stop_loss,1.0,3.637866355959263,3.5560143981902943,5620.0,5785.0,1,0,-165.0,-165.0,30.3425,18249.6,-195.3425,-0.010703933236892864,demo_2409,close,0
20240328,20240328,20240412,20240412,-1,202409,take_profit,1.0,4.878063919932654,0.3522777416654102,6515.0,5550.0,9,0,965.0,-475.0,30.4865,18090.6,934.5135,0.05165740771450367,demo_2409,close,0
20240418,20240418,20240425,20240425,1,202409,take_profit,1.0,-2.2740195410985056,-0.3029133067669424,3495.0,4840.0,5,0,1345.0,-295.0,31.145500000000002,18837.0,1313.8545,0.06974860646599777,demo_2409,close,0
20231108,20231108,20231123,20231123,1,202409,take_profit,1.0,-2.6832934581364154,-0.4544781523450992,4905.0,5175.0,11,0,270.0,-800.0,110.174,18444.6,159.826,0.0086651919803086,demo_2409,close,1
20231130,20231130,20231205,20231205,1,202409,take_profit,1.0,-2.2546586966755013,-0.4431509797397874,3305.0,4520.0,3,0,1215.0,-295.0,109.9545,18151.8,1105.0455,0.060878012097973756,demo_2409,close,1
20231213,20231213,20231215,20231215,-1,202409,stop_loss,1.0,2.02826964116029,3.2279816515689546,6255.0,7160.0,2,0,-905.0,-905.0,109.64349999999999,17749.8,-1014.6435,-0.05716365818206403,demo_2409,close,1
20231218,20231218,20231222,20231222,-1,202409,take_profit,1.0,2.3383824456028073,0.2578728337765551,6760.0,5235.0,4,0,1525.0,-30.0,110.16149999999999,17817.6,1414.8385,0.07940679440553162,demo_2409,close,1
20240131,20240131,20240304,20240304,1,202409,take_profit,1.0,-2.259586951009046,-0.47871448808547146,5175.0,5015.0,17,0,-160.0,-1030.0,110.311,18109.8,-270.31100000000004,-0.014926227788269337,demo_2409,close,1
