open_signal,open_exec,close_signal,close_exec,side,month,reason,z_open,z_close,S_entry,S_exit,hold_days,rolls,pnl,mae,cost,margin,net,ret,fill,ticks
20260319,20260320,20260326,20260327,1,202605,stop_loss,-3.4333170238982778,-3.83356282295832,-4600.0,-7190.0,5,0,-2590.0,-2590.0,37.269,22299.6,-2627.269,-0.11781686667025418,open,0
20260402,20260403,20260630,20260701,1,202609,take_profit,-2.6214544972416514,0.3173550766359812,-4280.0,-1625.0,58,0,2655.0,-3530.0,32.3555,20853.6,2622.6445,0.12576459220470326,open,0
20251031,20251103,20251104,20251105,-1,202601,stop_loss,2.5670380905026073,3.8131917347324182,2115.0,3805.0,2,0,-1690.0,-1690.0,106.34400000000001,15941.4,-1796.344,-0.11268420590412385,open,1
20251106,20251107,20251117,20251118,-1,202601,stop_loss,2.6326983969839364,3.8851777455514793,2760.0,5660.0,7,0,-2900.0,-2920.0,105.76599999999999,15615.599999999999,-3005.766,-0.19248482286943827,open,1
20251222,20251223,20260130,20260202,1,202605,take_profit,-2.876189470556459,0.03801823994064118,-2775.0,-410.0,27,0,2365.0,-1005.0,106.5975,15173.4,2258.4025,0.1488395811090461,open,1
20260303,20260304,20260305,20260306,1,202605,take_profit,-3.6328690609104397,0.10105849220925536,-4300.0,5.0,2,0,4305.0,0.0,110.27850000000001,17859.0,4194.7215,0.2348799764824458,open,1
20260309,20260310,20260310,20260311,1,202605,take_profit,-3.733880752895749,1.5514228005851218,2800.0,1060.0,1,0,-1740.0,-1740.0,112.768,19774.8,-1852.768,-0.09369338754374254,open,1
20260319,20260320,20260326,20260327,1,202605,stop_loss,-3.4333170238982778,-3.83356282295832,-4600.0,-7190.0,5,0,-2590.0,-2590.0,117.269,22299.6,-2707.2690000000002,-0.12140437496636713,open,1
20260402,20260403,20260630,20260701,1,202609,take_profit,-2.6214544972416514,0.3173550766359812,-4280.0,-1625.0,58,0,2655.0,-3530.0,112.3555,20853.6,2542.6445,0.12192832412628994,open,1
20251031,20251103,20251104,20251105,-1,202601,stop_loss,2.5670380905026073,3.8131917347324182,2115.0,3805.0,2,0,-1690.0,-1690.0,186.344,15941.4,-1876.344,-0.11770258572020025,open,2
20251106,20251107,20251117,20251118,-1,202601,stop_loss,2.6326983969839364,3.8851777455514793,2760.0,5660.0,7,0,-2900.0,-2920.0,185.76599999999996,15615.599999999999,-3085.766,-0.19760790491559724,open,2
20251222,20251223,20260130,20260202,1,202605,take_profit,-2.876189470556459,0.03801823994064118,-2775.0,-410.0,27,0,2365.0,-1005.0,186.59750000000003,15173.4,2178.4025,0.14356719654131575,open,2
20260303,20260304,20260305,20260306,1,202605,take_profit,-3.6328690609104397,0.10105849220925536,-4300.0,5.0,2,0,4305.0,0.0,190.2785,17859.0,4114.7215,0.23040044235399518,open,2
20260309,20260310,20260310,20260311,1,202605,take_profit,-3.733880752895749,1.5514228005851218,2800.0,1060.0,1,0,-1740.0,-1740.0,192.76800000000003,19774.8,-1932.768,-0.0977389404696887,open,2
20260319,20260320,20260326,20260327,1,202605,stop_loss,-3.4333170238982778,-3.83356282295832,-4600.0,-7190.0,5,0,-2590.0,-2590.0,197.269,22299.6,-2787.2690000000002,-0.12499188326248006,open,2
20260402,20260403,20260630,20260701,1,202609,take_profit,-2.6214544972416514,0.3173550766359812,-4280.0,-1625.0,58,0,2655.0,-3530.0,192.3555,20853.6,2462.6445,0.11809205604787663,open,2
