open_signal,open_exec,close_signal,close_exec,side,month,reason,qty,z_open,z_close,S_entry,S_exit,hold_days,rolls,pnl,mae,cost,margin,net,ret,variant,year
20190416,20190417,20190514,20190515,-1,201909,take_profit,1.0,2.7672619850262343,-0.24390181199916616,11780.0,7850.0,17,0,3930.0,-1215.0,151.075,19211.399999999998,3778.925,0.1967022184744475,A 固定手数,2019
20190628,20190701,20190925,20190926,-1,201909,take_profit,1.0,2.515769519443563,-0.2720721413770862,12845.0,7065.0,62,1,-1125.0,-7590.0,299.12749999999994,17909.399999999998,-1424.1275,-0.07951843724524553,A 固定手数,2019
20191202,20191203,20191217,20191218,-1,202005,take_profit,1.0,2.70326914431134,-0.029850510441136544,13765.0,9310.0,11,0,4455.0,0.0,147.3755,16177.199999999999,4307.6245,0.2662775078505551,A 固定手数,2019
20200114,20200115,20200303,20200304,1,202005,take_profit,1.0,-2.9339138210166658,0.1037818912435095,4230.0,8720.0,29,0,4490.0,-600.0,147.791,17584.8,4342.209,0.24692967790364406,A 固定手数,2020
20200413,20200414,20200416,20200417,-1,202009,stop_loss,1.0,4.028684450071428,3.785790865754083,12460.0,12850.0,3,0,-390.0,-520.0,144.083,14742.0,-534.083,-0.03622866639533306,A 固定手数,2020
20200423,20200424,20200424,20200427,-1,202009,stop_loss,1.0,3.1290881590376878,3.8315803093109873,13105.0,14265.0,1,0,-1160.0,-1185.0,143.317,14047.8,-1303.317,-0.0927773032076197,A 固定手数,2020
20200506,20200507,20200917,20200918,-1,202009,take_profit,1.0,3.058254390960823,-0.0425864709968921,14290.0,12110.0,94,1,-5245.0,-10865.0,291.3115,14587.199999999999,-5536.3115,-0.37953215833059123,A 固定手数,2020
20201211,20201214,20201215,20201216,1,202105,stop_loss,1.0,-2.716932233776586,-5.0052014644019,8705.0,4925.0,2,0,-3780.0,-3780.0,151.29700000000003,18833.399999999998,-3931.297,-0.20874069472320456,A 固定手数,2020
20201224,20201225,20201231,20201231,1,202105,end,1.0,-3.0872839386344486,-1.9673514259120533,5625.0,6975.0,4,0,1350.0,-495.0,150.66,18727.8,1199.34,0.06404062409893313,A 固定手数,2020
20210114,20210115,20210201,20210202,-1,202105,take_profit,1.0,2.5661781515636792,0.9606436531737603,8110.0,11475.0,12,0,-3365.0,-5045.0,149.6005,17635.8,-3514.6005,-0.19928784064232982,A 固定手数,2021
20210218,20210219,20210225,20210226,-1,202105,take_profit,1.0,3.2702501144353056,0.9681616401227569,16010.0,15385.0,5,0,625.0,-2595.0,152.4675,18895.8,472.5325,0.02500727674933054,A 固定手数,2021
20210409,20210412,20210428,20210429,1,202109,take_profit,1.0,-2.6260826169688047,-0.838728341988123,12360.0,10855.0,13,0,-1505.0,-2660.0,151.4275,18862.2,-1656.4275,-0.08781730126920508,A 固定手数,2021
