variant,ticks,ann_ret,mdd,sharpe,win,n,hold,n_stop,n_roll,cost_share,se,t,years
A 固定手数,0,-0.04435898258538324,0.49305399927558335,-0.3067444316569729,0.40350877192982454,57,8.017543859649123,22,4,0.034141880500863,0.37583284421167173,-0.8161724989746033,7.412698412698413
A 固定手数,1,-0.008433318997390601,0.3854876103483491,-0.05754208386686968,0.5,48,10.0625,14,3,0.11988182191231585,0.3675962178798401,-0.15653611508505522,7.412698412698413
A 固定手数,2,0.043238692537942984,0.4191617225777968,0.26418029980595703,0.5454545454545454,44,13.0,10,5,0.20396877178238657,0.3736458026042866,0.7070340358827472,7.412698412698413
B 波动定手数,0,-0.01017178713115913,0.2854158683264637,-0.07020063831319756,0.5142857142857142,70,7.642857142857143,21,7,0.04870328195934833,0.3677445466211961,-0.1908951171627009,7.412698412698413
B 波动定手数,1,0.02724209333898097,0.27106630184701286,0.17596105249373284,0.5094339622641509,53,11.245283018867925,16,6,0.14260675945080087,0.3701244428666546,0.4754105163411935,7.412698412698413
B 波动定手数,2,0.018323154919230884,0.29903153369202706,0.12047781947908986,0.4897959183673469,49,11.673469387755102,15,6,0.23660012055660684,0.3686227027968928,0.3268323371430323,7.412698412698413
C 波动定手数+金额止损,0,-0.0408073206092512,0.42618266079563716,-0.3124409036955995,0.5,60,7.233333333333333,15,5,0.03853674608591889,0.3761492269779893,-0.8306301895281637,7.412698412698413
C 波动定手数+金额止损,1,-0.04286905580336926,0.45627672664234864,-0.32155202137244837,0.4915254237288136,59,7.677966101694915,15,5,0.1556960314676531,0.37666678720135033,-0.8536776596672966,7.412698412698413
C 波动定手数+金额止损,2,-0.028148007705075567,0.4667144308430562,-0.20457823483853793,0.46296296296296297,54,9.222222222222221,16,7,0.26125799395141314,0.3711154146315969,-0.5512523241364711,7.412698412698413
