version,fill,ann_ret,mdd,sharpe,win,n,hold,n_stop,n_roll,cost_share
v0 原版,close,0.17973264696253163,0.7277745696549965,0.28112443603680637,0.5581395348837209,86,7.093023255813954,32,0,0.5923503023397503
v0 原版,open,0.14612217153020568,0.8983660195556218,0.2165115068705071,0.5232558139534884,86,7.0,32,0,0.5924573841165338
v1 +①止损冷静期,close,0.06473581656420842,0.7859744040706934,0.11953834695825791,0.546875,64,7.21875,23,0,0.4364042341491895
v1 +①止损冷静期,open,0.039545786861818345,0.8840337149796145,0.07119342850653705,0.53125,64,7.140625,23,0,0.4364841900009044
v2 +②换月,close,0.07261287709336162,1.2107044175067645,0.14093967716554945,0.6190476190476191,63,8.444444444444445,19,4,0.45504840914434935
v2 +②换月,open,0.06389258374923942,1.2668468248662599,0.12231606615676788,0.6190476190476191,63,8.444444444444445,19,4,0.4550578740740958
v3 +③窗口34天,close,0.07166049965840118,1.1375865213744871,0.13467223306073553,0.5964912280701754,57,9.052631578947368,20,5,0.4255437611488585
v3 +③窗口34天,open,0.05273497956158648,1.1204243768359756,0.09809819269078504,0.5964912280701754,57,9.052631578947368,20,5,0.42556025638769407
v4 +④方向性平仓,close,0.07166049965840118,1.1375865213744871,0.13467223306073553,0.5964912280701754,57,9.052631578947368,20,5,0.4255437611488585
v4 +④方向性平仓,open,0.05273497956158648,1.1204243768359756,0.09809819269078504,0.5964912280701754,57,9.052631578947368,20,5,0.42556025638769407
