w,entry,exit,fill,ann_ret,mdd,sharpe,win,n,hold,n_stop,n_roll,cost_share
20,1.5,0.0,close,-0.018781340965978065,0.9089256312837506,-0.03846644222692877,0.41818181818181815,110,4.345454545454546,65,4,0.7831601287731355
20,1.5,0.0,open,0.005437450628446848,0.9592584924731163,0.011229195373853083,0.42727272727272725,110,4.345454545454546,65,4,0.7832912973804591
20,1.5,0.5,close,-0.12582336940115413,1.0469742778135371,-0.28992223711230525,0.4380165289256198,121,3.190082644628099,65,3,0.8528339659676586
20,1.5,0.5,open,-0.12051547256048097,1.1489648743297427,-0.2798790356132891,0.4628099173553719,121,3.190082644628099,65,3,0.8529439342265618
20,1.5,1.0,close,-0.06342106996065343,0.6602571291114085,-0.166408967831127,0.539568345323741,139,2.1510791366906474,63,1,0.9602684412936366
20,1.5,1.0,open,-0.07593270782234046,0.8182836277203347,-0.20068693043863745,0.539568345323741,139,2.1510791366906474,63,1,0.9603602729964072
20,2.0,0.0,close,-0.08109948836413196,1.4908666316160348,-0.15011703633811968,0.5223880597014925,67,8.895522388059701,24,4,0.4785677200632117
20,2.0,0.0,open,-0.05557740588986834,1.3392132667299834,-0.10264375627914255,0.5522388059701493,67,8.895522388059701,24,4,0.4785752701227781
20,2.0,0.5,close,0.04357823013800852,0.8964017256092267,0.09136299289404198,0.6075949367088608,79,5.7594936708860756,24,4,0.5639050859082338
20,2.0,0.5,open,0.07622524194154409,0.7782554914519306,0.15900060905665656,0.6075949367088608,79,5.7594936708860756,24,4,0.5639323317753651
20,2.0,1.0,close,0.06248161639086294,0.7988352048359378,0.14956700391266806,0.6136363636363636,88,3.7954545454545454,24,1,0.6086290400277733
20,2.0,1.0,open,0.11571508618562662,0.6877419416460868,0.2763688644565682,0.6363636363636364,88,3.7954545454545454,24,1,0.6086005358173807
20,2.5,0.0,close,-0.04915299848579974,1.8486907392243597,-0.09004945836097283,0.6122448979591837,49,11.428571428571429,10,3,0.35076780707054556
20,2.5,0.0,open,-0.018469467975763453,1.7444995234517786,-0.03361064258583705,0.673469387755102,49,11.428571428571429,10,3,0.3508342257105001
20,2.5,0.5,close,0.020100304735064394,0.9981364310741911,0.042337196037396704,0.6538461538461539,52,7.826923076923077,9,3,0.3752849021295817
20,2.5,0.5,open,0.04954179172777651,0.9087330831383608,0.10328083514169344,0.6153846153846154,52,7.826923076923077,9,3,0.3753508830849236
20,2.5,1.0,close,0.03962284228636958,0.744142443265366,0.1010132733470115,0.6896551724137931,58,4.862068965517241,9,1,0.40637577387153223
20,2.5,1.0,open,0.06379697468332467,0.6889663865504785,0.16062863154283225,0.7068965517241379,58,4.862068965517241,9,1,0.4064028556069338
30,1.5,0.0,close,-0.19842212787680358,1.3289345204459369,-0.3867794450982205,0.37777777777777777,90,5.9,55,6,0.6608738382659216
30,1.5,0.0,open,-0.2368740402370336,1.4471187797149594,-0.4671475166870847,0.37777777777777777,90,5.9,55,6,0.6609449073048844
30,1.5,0.5,close,-0.011287637463666012,0.7774456594732709,-0.02455680705371788,0.4563106796116505,103,4.233009708737864,54,4,0.7398697558914288
30,1.5,0.5,open,-0.014892160418708847,0.8005550910746531,-0.0327699572898467,0.46601941747572817,103,4.233009708737864,54,4,0.7399483202793815
30,1.5,1.0,close,-0.1340573999219218,0.8247618624506522,-0.328284707747333,0.5087719298245614,114,2.8596491228070176,53,2,0.803014405522941
30,1.5,1.0,open,-0.10885750285179942,0.7582117578800707,-0.27194090290608863,0.5087719298245614,114,2.8596491228070176,53,2,0.8031560785609659
30,2.0,0.0,close,0.03197903216482751,1.6823965547810331,0.05836190511700942,0.5849056603773585,53,11.547169811320755,17,6,0.4001021394116743
30,2.0,0.0,open,0.009635333859433168,1.6646666325140593,0.01737160009496001,0.5849056603773585,53,11.547169811320755,17,6,0.4000848235141903
30,2.0,0.5,close,0.01888520900377782,1.538205169704991,0.037122655029490914,0.6206896551724138,58,9.017241379310345,17,4,0.4223683045742278
30,2.0,0.5,open,0.006285253305808042,1.5638545202116563,0.0121828562693946,0.6206896551724138,58,9.017241379310345,17,4,0.4223617119497513
30,2.0,1.0,close,0.14866019176600725,0.6317218535932851,0.34465479507026175,0.6119402985074627,67,5.417910447761194,17,2,0.47488739428800397
30,2.0,1.0,open,0.14935950900106174,0.589825489119381,0.33963125456881,0.6268656716417911,67,5.417910447761194,17,2,0.4749030962234792
30,2.5,0.0,close,0.012723716268003908,1.2614546631741042,0.024950277949602997,0.5714285714285714,35,15.628571428571428,7,4,0.26451141296032044
30,2.5,0.0,open,0.05610571193216819,1.2879459266811022,0.10985334665979704,0.5714285714285714,35,15.628571428571428,7,4,0.26456002330760187
30,2.5,0.5,close,-0.01920860380872225,1.1685898709747808,-0.04062675534472476,0.5945945945945946,37,12.027027027027026,7,3,0.27269094506552966
30,2.5,0.5,open,0.03333709907510617,1.0540207814218525,0.07042198003464759,0.6216216216216216,37,12.027027027027026,7,3,0.272728968916245
30,2.5,1.0,close,0.21912184854132102,0.2987062352210704,0.5700607049493808,0.7777777777777778,45,6.844444444444444,6,1,0.3187155884324161
30,2.5,1.0,open,0.26510335128627166,0.26116371205786304,0.6900212509121388,0.7111111111111111,45,6.844444444444444,6,1,0.3187755785796238
60,1.5,0.0,close,0.0267187699156068,0.8061418291137623,0.05695736160423733,0.41818181818181815,55,8.672727272727272,32,4,0.40547720736196596
60,1.5,0.0,open,0.03583474987680418,0.8907120628598647,0.07642519463663783,0.41818181818181815,55,8.654545454545454,32,4,0.40552209739004064
60,1.5,0.5,close,-0.04545596285264966,0.7904174568155516,-0.10324979382016033,0.43859649122807015,57,7.4035087719298245,32,4,0.4196945713420215
60,1.5,0.5,open,-0.03528156836843644,0.8762695888726268,-0.08006648609640009,0.42105263157894735,57,7.385964912280702,32,4,0.4197401452523033
60,1.5,1.0,close,-0.020205173859330714,0.5675708317506092,-0.054155805903198365,0.5217391304347826,69,4.63768115942029,32,2,0.48412035118975744
60,1.5,1.0,open,0.017027097467930963,0.6155191587246747,0.046372544346847504,0.5072463768115942,69,4.6231884057971016,32,2,0.4841327704906385
60,2.0,0.0,close,0.298816292406363,0.8541053527985489,0.558138131482817,0.5789473684210527,38,16.55263157894737,14,7,0.31574543329635985
60,2.0,0.0,open,0.33963229790443017,0.8000292378591258,0.6343930608753606,0.5789473684210527,38,16.55263157894737,14,7,0.315780940460553
60,2.0,0.5,close,0.2038036397605602,0.7180987717724784,0.41623476988340535,0.6,40,12.625,14,5,0.31567923349871163
60,2.0,0.5,open,0.2442242541713868,0.6552450873522,0.4986119076848721,0.6,40,12.625,14,5,0.3157064246552663
60,2.0,1.0,close,0.17119319192528631,0.5738349967587061,0.4104503620989093,0.6304347826086957,46,8.369565217391305,14,2,0.33807673140031863
60,2.0,1.0,open,0.2250628307058188,0.5172680898453774,0.5388742337009896,0.6304347826086957,46,8.369565217391305,14,2,0.33808589542189393
60,2.5,0.0,close,0.10646821810291228,1.2698361395329572,0.21483644546074915,0.5,20,18.85,8,4,0.16805516192864112
60,2.5,0.0,open,0.16693259207752667,1.3040552966780203,0.3353778040997914,0.55,20,18.85,8,4,0.1680311439855274
60,2.5,0.5,close,-0.001730247592938331,1.1555958195535494,-0.003783793164342682,0.5238095238095238,21,14.857142857142858,8,3,0.16821327549492499
60,2.5,0.5,open,0.04583815999480854,1.163296733799477,0.09984674109026302,0.5714285714285714,21,14.857142857142858,8,3,0.1681900234998832
60,2.5,1.0,close,-0.01502247539286014,0.9987567689271344,-0.03656631671123392,0.5,22,10.363636363636363,8,1,0.1625383662297479
60,2.5,1.0,open,0.01733782549578475,1.0378526695098926,0.042073873666766286,0.5909090909090909,22,10.363636363636363,8,1,0.16250277699968987
120,1.5,0.0,close,0.15296255139154064,0.5265786310372226,0.3376633235995629,0.425,40,10.575,23,6,0.31313800928295493
120,1.5,0.0,open,0.16332883545197258,0.48015727495580285,0.3612618397747666,0.425,40,10.575,23,6,0.3131756501596343
120,1.5,0.5,close,0.010824330754300128,0.7239931356078115,0.026547974946525485,0.4523809523809524,42,7.595238095238095,23,4,0.3132480869630114
120,1.5,0.5,open,0.03302146209145218,0.6708120441224705,0.08103713942835612,0.4523809523809524,42,7.595238095238095,23,4,0.31330624430590404
120,1.5,1.0,close,-0.12739931858077794,0.8961930623562147,-0.3478841239025244,0.4782608695652174,46,5.608695652173913,23,2,0.32938494416669556
120,1.5,1.0,open,-0.10039015216826466,0.8274756567537729,-0.2783822861530379,0.4782608695652174,46,5.608695652173913,23,2,0.32943500434425604
120,2.0,0.0,close,0.20567862392431882,0.7598536667520265,0.4004903763603389,0.6,20,30.5,6,6,0.18067292542626587
120,2.0,0.0,open,0.20317399235643743,0.7695939035961755,0.39455513126566716,0.6,20,30.45,6,6,0.1806853173718587
120,2.0,0.5,close,0.10477880737512675,0.7991836424851367,0.22026785633301293,0.6190476190476191,21,23.523809523809526,6,4,0.17468304737178209
120,2.0,0.5,open,0.09788963685047311,0.8097635493193834,0.205309822284353,0.6190476190476191,21,23.476190476190474,6,4,0.17468827223184444
120,2.0,1.0,close,0.15886961223229157,0.5053146449221836,0.38443750378864805,0.6923076923076923,26,14.76923076923077,6,2,0.20098307805533108
120,2.0,1.0,open,0.16195042981754162,0.516225656639836,0.3907664325117909,0.6923076923076923,26,14.76923076923077,6,2,0.20097612981210683
120,2.5,0.0,close,0.1316074600073954,0.7117977820584589,0.26362212470567614,0.6,15,34.6,4,6,0.1501712045280966
120,2.5,0.0,open,0.1339369200548795,0.7085966261524834,0.26819977437204673,0.6,15,34.53333333333333,4,6,0.15017199783145688
120,2.5,0.5,close,0.04884106629834077,0.8619507015735897,0.10654912931737408,0.6666666666666666,15,26.333333333333332,4,3,0.13208175420195964
120,2.5,0.5,open,0.052604108666351734,0.8732490017408159,0.11458137864421958,0.6666666666666666,15,26.266666666666666,4,3,0.13208892128749017
120,2.5,1.0,close,0.11061279787994484,0.7970584772502025,0.2903384276752734,0.6470588235294118,17,16.352941176470587,4,2,0.14054186949910202
120,2.5,1.0,open,0.10816620738813251,0.816816151400922,0.283768630879884,0.5882352941176471,17,16.352941176470587,4,2,0.14053834066691334
