scope,fill,ticks,ann_ret,mdd,sharpe,win,n,hold,n_stop,n_roll,cost_share
demo_2409,close,0,0.43489959165465286,0.06875110327317413,1.6978270941857405,0.625,8,6.5,2,0,0.013336589156683962
demo_2409,close,1,0.3615558926433547,0.07053120674706481,1.4220533209618074,0.625,8,6.5,2,0,0.04857501826537377
demo_2409,open,0,0.5042742499746691,0.0680357848475508,1.9594440776585191,0.625,8,6.5,2,0,0.01334220528132316
demo_2409,open,1,0.43088152481843045,0.0697803113578861,1.663949000117932,0.625,8,6.5,2,0,0.048580634390012964
full_is,close,0,0.2643632955213321,0.6035677319863255,0.4135536469890396,0.5697674418604651,86,7.093023255813954,32,0,0.14499129616515405
full_is,close,1,0.17973264696253163,0.7277745696549965,0.28112443603680637,0.5581395348837209,86,7.093023255813954,32,0,0.5923503023397503
full_is,open,0,0.23060980711912546,0.7905117082248544,0.34171161675351036,0.5348837209302325,86,7.0,32,0,0.14509837794193764
full_is,open,1,0.14612217153020568,0.8983660195556218,0.2165115068705071,0.5232558139534884,86,7.0,32,0,0.5924573841165338
