open_signal,open_exec,close_signal,close_exec,side,month,reason,z_open,z_close,S_entry,S_exit,hold_days,rolls,pnl,mae,cost,margin,net,ret,scope,fill,ticks
20231108,20231108,20231123,20231123,1,202409,take_profit,-2.6832934581364154,-0.4544781523450992,4905.0,5175.0,11,0,270.0,-800.0,30.174,18444.6,239.826,0.013002504798152306,demo_2409,close,0
20231130,20231130,20231205,20231205,1,202409,take_profit,-2.2546586966755013,-0.4431509797397874,3305.0,4520.0,3,0,1215.0,-295.0,29.954500000000003,18151.8,1185.0455,0.06528528851133221,demo_2409,close,0
20231213,20231213,20231215,20231215,-1,202409,stop_loss,2.02826964116029,3.2279816515689546,6255.0,7160.0,2,0,-905.0,-905.0,29.643500000000003,17749.8,-934.6435,-0.052656565144396,demo_2409,close,0
20231218,20231218,20231222,20231222,-1,202409,take_profit,2.3383824456028073,0.2578728337765551,6760.0,5235.0,4,0,1525.0,-30.0,30.161500000000004,17817.6,1494.8385,0.08389673693426725,demo_2409,close,0
20240131,20240131,20240304,20240304,1,202409,take_profit,-2.259586951009046,-0.47871448808547146,5175.0,5015.0,17,0,-160.0,-1030.0,30.311,18109.8,-190.311,-0.010508730079846271,demo_2409,close,0
20240326,20240326,20240327,20240327,-1,202409,stop_loss,3.637866355959263,3.5560143981902943,5620.0,5785.0,1,0,-165.0,-165.0,30.3425,18249.6,-195.3425,-0.010703933236892864,demo_2409,close,0
20240328,20240328,20240412,20240412,-1,202409,take_profit,4.878063919932654,0.3522777416654102,6515.0,5550.0,9,0,965.0,-475.0,30.4865,18090.6,934.5135,0.05165740771450367,demo_2409,close,0
20240418,20240418,20240425,20240425,1,202409,take_profit,-2.2740195410985056,-0.3029133067669424,3495.0,4840.0,5,0,1345.0,-295.0,31.145500000000002,18837.0,1313.8545,0.06974860646599777,demo_2409,close,0
20231108,20231108,20231123,20231123,1,202409,take_profit,-2.6832934581364154,-0.4544781523450992,4905.0,5175.0,11,0,270.0,-800.0,110.174,18444.6,159.826,0.0086651919803086,demo_2409,close,1
20231130,20231130,20231205,20231205,1,202409,take_profit,-2.2546586966755013,-0.4431509797397874,3305.0,4520.0,3,0,1215.0,-295.0,109.9545,18151.8,1105.0455,0.060878012097973756,demo_2409,close,1
20231213,20231213,20231215,20231215,-1,202409,stop_loss,2.02826964116029,3.2279816515689546,6255.0,7160.0,2,0,-905.0,-905.0,109.64349999999999,17749.8,-1014.6435,-0.05716365818206403,demo_2409,close,1
20231218,20231218,20231222,20231222,-1,202409,take_profit,2.3383824456028073,0.2578728337765551,6760.0,5235.0,4,0,1525.0,-30.0,110.16149999999999,17817.6,1414.8385,0.07940679440553162,demo_2409,close,1
20240131,20240131,20240304,20240304,1,202409,take_profit,-2.259586951009046,-0.47871448808547146,5175.0,5015.0,17,0,-160.0,-1030.0,110.311,18109.8,-270.31100000000004,-0.014926227788269337,demo_2409,close,1
20240326,20240326,20240327,20240327,-1,202409,stop_loss,3.637866355959263,3.5560143981902943,5620.0,5785.0,1,0,-165.0,-165.0,110.3425,18249.6,-275.3425,-0.015087590960897772,demo_2409,close,1
20240328,20240328,20240412,20240412,-1,202409,take_profit,4.878063919932654,0.3522777416654102,6515.0,5550.0,9,0,965.0,-475.0,110.4865,18090.6,854.5135,0.047235221606801325,demo_2409,close,1
20240418,20240418,20240425,20240425,1,202409,take_profit,-2.2740195410985056,-0.3029133067669424,3495.0,4840.0,5,0,1345.0,-295.0,111.1455,18837.0,1233.8545,0.06550164569729787,demo_2409,close,1
20231108,20231109,20231123,20231124,1,202409,take_profit,-2.6832934581364154,-0.4544781523450992,4630.0,5115.0,11,0,485.0,-525.0,30.128500000000003,18444.6,454.87149999999997,0.02466149984277241,demo_2409,open,0
20231130,20231201,20231205,20231206,1,202409,take_profit,-2.2546586966755013,-0.4431509797397874,3295.0,4555.0,3,0,1260.0,-285.0,29.957000000000004,18151.8,1230.043,0.06776424376645843,demo_2409,open,0
20231213,20231214,20231215,20231218,-1,202409,stop_loss,2.02826964116029,3.2279816515689546,6305.0,7065.0,2,0,-760.0,-855.0,29.705000000000002,17749.8,-789.705,-0.0444909238413954,demo_2409,open,0
20231218,20231219,20231222,20231225,-1,202409,take_profit,2.3383824456028073,0.2578728337765551,6690.0,5195.0,4,0,1495.0,-100.0,30.1685,17817.6,1464.8315,0.08221261561602013,demo_2409,open,0
20240131,20240201,20240304,20240305,1,202409,take_profit,-2.259586951009046,-0.47871448808547146,5170.0,4895.0,17,0,-275.0,-1195.0,30.3045,18109.8,-305.3045,-0.016858524114015616,demo_2409,open,0
20240326,20240327,20240327,20240328,-1,202409,stop_loss,3.637866355959263,3.5560143981902943,5505.0,5790.0,1,0,-285.0,-285.0,30.343500000000002,18249.6,-315.3435,-0.01727947461862178,demo_2409,open,0
20240328,20240329,20240412,20240415,-1,202409,take_profit,4.878063919932654,0.3522777416654102,6595.0,5455.0,9,0,1140.0,-395.0,30.521,18090.6,1109.479,0.0613290327573436,demo_2409,open,0
20240418,20240419,20240425,20240426,1,202409,take_profit,-2.2740195410985056,-0.3029133067669424,3190.0,4840.0,5,0,1650.0,-80.0,31.193,18837.0,1618.807,0.08593762276370973,demo_2409,open,0
20231108,20231109,20231123,20231124,1,202409,take_profit,-2.6832934581364154,-0.4544781523450992,4630.0,5115.0,11,0,485.0,-525.0,110.1285,18444.6,374.87149999999997,0.020324187024928705,demo_2409,open,1
20231130,20231201,20231205,20231206,1,202409,take_profit,-2.2546586966755013,-0.4431509797397874,3295.0,4555.0,3,0,1260.0,-285.0,109.957,18151.8,1150.0430000000001,0.06335696735309998,demo_2409,open,1
20231213,20231214,20231215,20231218,-1,202409,stop_loss,2.02826964116029,3.2279816515689546,6305.0,7065.0,2,0,-760.0,-855.0,109.705,17749.8,-869.705,-0.04899801687906343,demo_2409,open,1
20231218,20231219,20231222,20231225,-1,202409,take_profit,2.3383824456028073,0.2578728337765551,6690.0,5195.0,4,0,1495.0,-100.0,110.1685,17817.6,1384.8315,0.07772267308728449,demo_2409,open,1
20240131,20240201,20240304,20240305,1,202409,take_profit,-2.259586951009046,-0.47871448808547146,5170.0,4895.0,17,0,-275.0,-1195.0,110.3045,18109.8,-385.3045,-0.021276021822438682,demo_2409,open,1
20240326,20240327,20240327,20240328,-1,202409,stop_loss,3.637866355959263,3.5560143981902943,5505.0,5790.0,1,0,-285.0,-285.0,110.3435,18249.6,-395.3435,-0.02166313234262669,demo_2409,open,1
20240328,20240329,20240412,20240415,-1,202409,take_profit,4.878063919932654,0.3522777416654102,6595.0,5455.0,9,0,1140.0,-395.0,110.52099999999999,18090.6,1029.479,0.056906846649641254,demo_2409,open,1
20240418,20240419,20240425,20240426,1,202409,take_profit,-2.2740195410985056,-0.3029133067669424,3190.0,4840.0,5,0,1650.0,-80.0,111.19300000000001,18837.0,1538.807,0.08169066199500982,demo_2409,open,1
20191217,20191217,20200204,20200204,1,202005,take_profit,-2.271186509267198,-0.13070422707266188,9290.0,7040.0,28,0,-2250.0,-5620.0,26.893,16645.2,-2276.893,-0.13678976521760028,full_is,close,0
20200302,20200302,20200310,20200310,-1,202005,stop_loss,2.0982980969122424,3.135812693846848,7935.0,11380.0,6,0,-3445.0,-3445.0,25.667500000000004,15676.199999999999,-3470.6675,-0.2213972455059262,full_is,close,0
20200311,20200311,20200326,20200326,-1,202005,take_profit,2.8638207792761974,0.1508589031774583,11730.0,9490.0,11,0,2240.0,-545.0,23.518,14994.0,2216.482,0.14782459650526877,full_is,close,0
20200407,20200407,20200410,20200410,-1,202005,stop_loss,2.2681279083374037,3.2431041606191533,14035.0,16060.0,3,0,-2025.0,-2025.0,23.7815,13837.8,-2048.7815,-0.14805688042896994,full_is,close,0
20200413,20200413,20200414,20200414,-1,202005,stop_loss,5.416459166665282,3.7709626407039605,20715.0,20630.0,1,0,85.0,0.0,24.8105,15107.4,60.189499999999995,0.003984107126308961,full_is,close,0
20200415,20200415,20200511,20200511,-1,202005,take_profit,2.0235712704051285,0.30836327891631793,17735.0,16465.0,15,0,1270.0,-1685.0,23.862000000000002,14289.0,1246.138,0.08720960179158793,full_is,close,0
20200522,20200522,20200629,20200629,-1,202009,take_profit,2.0273198205858622,0.47196254980369295,16820.0,18595.0,24,0,-1775.0,-3600.0,24.073500000000003,14128.8,-1799.0735,-0.1273337792310741,full_is,close,0
20200707,20200707,20200715,20200715,-1,202009,take_profit,3.014857251145982,-0.3121730414451745,21525.0,18855.0,6,0,2670.0,0.0,25.77,15420.599999999999,2644.23,0.17147387261196065,full_is,close,0
20200728,20200728,20200804,20200804,-1,202009,stop_loss,2.6280146013438395,3.3716946837003374,21970.0,23915.0,5,0,-1945.0,-1945.0,25.1265,15078.0,-1970.1265,-0.13066232258920282,full_is,close,0
20200805,20200805,20200812,20200812,-1,202009,take_profit,2.787959375676861,0.008734702969870499,23930.0,20825.0,5,0,3105.0,0.0,25.097500000000004,15068.4,3079.9025,0.20439479307690267,full_is,close,0
20200831,20200831,20200907,20200907,-1,202009,take_profit,2.4214964055052155,-0.11670369411521188,24840.0,22320.0,5,0,2520.0,-335.0,26.478,15660.0,2493.522,0.1592287356321839,full_is,close,0
20200915,20200915,20200917,20200917,1,202101,stop_loss,-4.001158257147917,-3.2174715125662097,12550.0,12065.0,2,0,-485.0,-485.0,27.5295,16525.2,-512.5295,-0.03101502553675598,full_is,close,0
20201021,20201021,20201026,20201026,1,202101,take_profit,-2.218277542233097,0.16879214809903892,11990.0,14825.0,3,0,2835.0,0.0,27.365500000000004,16630.8,2807.6345,0.16882137359597857,full_is,close,0
20201102,20201102,20201106,20201106,-1,202101,take_profit,2.3646915401710156,-0.32258421487385863,17145.0,14290.0,4,0,2855.0,0.0,27.7375,16594.2,2827.2625,0.17037654722734447,full_is,close,0
20201113,20201113,20201118,20201118,1,202101,take_profit,-2.1649328622739836,-0.3222404589667402,11510.0,13780.0,3,0,2270.0,0.0,29.565,17617.2,2240.435,0.12717316032059578,full_is,close,0
20201211,20201211,20201215,20201215,1,202101,stop_loss,-2.768166840704152,-3.6418390620265115,10090.0,7965.0,2,0,-2125.0,-2125.0,30.941499999999998,18742.8,-2155.9415,-0.11502771731011376,full_is,close,0
20201216,20201216,20201218,20201218,1,202101,stop_loss,-3.058036028814738,-3.2824811006341887,7760.0,5210.0,2,0,-2550.0,-2550.0,31.171,18420.0,-2581.171,-0.1401287187839305,full_is,close,0
20201221,20201221,20210106,20210106,1,202101,take_profit,-2.935299536174579,-0.4843141748516023,4625.0,7440.0,11,0,2815.0,-1680.0,30.888500000000004,18785.399999999998,2784.1115,0.1482061334866439,full_is,close,0
20210120,20210120,20210305,20210305,-1,202105,take_profit,2.5554618947364136,0.3433842582102675,10675.0,14175.0,27,0,-3500.0,-7930.0,31.488999999999997,17574.6,-3531.489,-0.20094278105902838,full_is,close,0
20210315,20210315,20210323,20210323,-1,202105,take_profit,2.2853271387098193,0.4351460524789226,19280.0,16695.0,6,0,2585.0,0.0,32.3795,19932.0,2552.6205,0.1280664509331728,full_is,close,0
20210409,20210409,20210512,20210512,1,202105,stop_loss,-2.2103238264559875,-3.3768381038246313,12705.0,4640.0,20,0,-8065.0,-8065.0,32.9285,19251.0,-8097.9285,-0.4206497584541063,full_is,close,0
20210513,20210513,20210514,20210514,1,202105,stop_loss,-3.157739389035748,-3.0699390252042003,4025.0,3035.0,1,0,-990.0,-990.0,33.646,20283.0,-1023.646,-0.05046817531923285,full_is,close,0
20210517,20210517,20210519,20210519,1,202105,expiry,-3.2831965946222543,-2.668197562773015,960.0,200.0,2,0,-760.0,-760.0,33.224000000000004,20188.8,-793.224,-0.039290299572039944,full_is,close,0
20210621,20210621,20210623,20210623,-1,202109,take_profit,2.097952684498481,0.37220495197798753,7850.0,4980.0,2,0,2870.0,0.0,31.235,18474.0,2838.765,0.1536627151672621,full_is,close,0
20210628,20210628,20210706,20210706,-1,202109,take_profit,2.5152038776812464,0.22447584951572722,7765.0,5495.0,6,0,2270.0,0.0,32.388000000000005,19255.8,2237.612,0.11620457212891701,full_is,close,0
20210714,20210714,20210809,20210809,1,202109,take_profit,-2.1381958841094106,0.09407033262720096,3890.0,4465.0,18,0,575.0,-2295.0,32.3835,19669.2,542.6165,0.027587115896935306,full_is,close,0
20210823,20210823,20210907,20210907,1,202109,stop_loss,-4.262716188461138,-3.2348469770369768,40.0,-1150.0,11,0,-1190.0,-1190.0,33.807,19970.399999999998,-1223.807,-0.06128104594800305,full_is,close,0
