scope,fill,ticks,ann_ret,mdd,sharpe,win,n,hold,n_stop,n_roll,cost_share
demo_2409,close,0,0.43489959165465286,0.06875110327317413,1.6978270941857405,0.625,8,6.5,2,0,0.013336589156683962
demo_2409,close,1,0.3615558926433547,0.07053120674706481,1.4220533209618074,0.625,8,6.5,2,0,0.04857501826537377
demo_2409,open,0,0.5042742499746691,0.0680357848475508,1.9594440776585191,0.625,8,6.5,2,0,0.01334220528132316
demo_2409,open,1,0.43088152481843045,0.0697803113578861,1.663949000117932,0.625,8,6.5,2,0,0.048580634390012964
full_is,close,0,0.0787007413973663,1.1283079452655498,0.12025908326233396,0.5379746835443038,158,7.291139240506329,60,0,0.2667487402719496
full_is,close,1,-0.012739462466659334,1.6230275166170465,-0.019467590151764396,0.5316455696202531,158,7.291139240506329,60,0,1.1593880002569052
full_is,open,0,0.1417828399000296,0.8117585452574232,0.205136463232397,0.5443037974683544,158,7.189873417721519,60,0,0.2668673123417184
full_is,open,1,0.050422676654620614,1.1200297737148117,0.07295683281536398,0.5379746835443038,158,7.189873417721519,60,0,1.159506572326674
