fill,ticks,ann_ret,mdd,sharpe,win,n,hold,n_stop,n_roll,cost_share
close,0,0.33058135557077806,0.3652999238143294,0.6400215489371114,0.5714285714285714,7,14.571428571428571,3,0,0.011650917039967523
close,1,0.30325643953562587,0.37808420015827104,0.5881314575134028,0.5714285714285714,7,14.571428571428571,3,0,0.042833250715249495
close,2,0.2759315235004736,0.3908684765022127,0.5359414966683969,0.5714285714285714,7,14.571428571428571,3,0,0.07401558439053148
open,0,-0.0006981607146472178,0.36386310786244536,-0.001661047091114738,0.42857142857142855,7,14.571428571428571,3,0,0.01177013378353677
open,1,-0.02782750726309394,0.37973892699304157,-0.06618565469632501,0.42857142857142855,7,14.571428571428571,3,0,0.04295246745881875
open,2,-0.05495685381154078,0.39621590462160006,-0.13062543925180362,0.42857142857142855,7,14.571428571428571,3,0,0.0741348011341007
